City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Month,Year,Monthly_AQI,PM_Ratio,NO2_NOx_Ratio,CO_O3_Ratio,SO2_NO2_Ratio
Ahmedabad,"2015-01-01 00:00:00",58.37,107.96,0.92,18.22,17.15,14.5,0.92,27.64,133.36,0,0.02,0,384.5,"Very Poor",January,2015,381.19,0.5407,1.0624,0.0069,1.517
Ahmedabad,"2015-01-02 00:00:00",58.37,107.96,0.97,15.69,16.46,14.5,0.97,24.55,34.06,3.68,5.5,3.77,384.5,"Very Poor",January,2015,381.19,0.5407,0.9532,0.0285,1.5647
Ahmedabad,"2015-01-03 00:00:00",58.37,107.96,17.4,19.3,29.7,14.5,17.4,29.07,30.7,6.8,16.4,2.25,384.5,"Very Poor",January,2015,381.19,0.5407,0.6498,0.5668,1.5062
Ahmedabad,"2015-01-04 00:00:00",58.37,107.96,1.7,18.48,17.97,14.5,1.7,18.59,36.08,4.43,10.14,1,384.5,"Very Poor",January,2015,381.19,0.5407,1.0284,0.0471,1.006
Ahmedabad,"2015-01-05 00:00:00",58.37,107.96,22.1,21.42,37.76,14.5,22.1,39.33,39.31,7.01,18.89,2.78,384.5,"Very Poor",January,2015,381.19,0.5407,0.5673,0.5622,1.8361
Ahmedabad,"2015-01-06 00:00:00",58.37,107.96,45.41,38.48,81.5,14.5,45.41,45.76,46.51,5.42,10.83,1.93,384.5,"Very Poor",January,2015,381.19,0.5407,0.4721,0.9763,1.1892
Ahmedabad,"2015-01-07 00:00:00",58.37,107.96,112.16,40.62,130.77,14.5,112.16,32.28,33.47,0,0,0,384.5,"Very Poor",January,2015,381.19,0.5407,0.3106,3.3511,0.7947
Ahmedabad,"2015-01-08 00:00:00",58.37,107.96,80.87,36.74,96.75,14.5,80.87,38.54,31.89,0,0,0,384.5,"Very Poor",January,2015,381.19,0.5407,0.3797,2.5359,1.049
Ahmedabad,"2015-01-09 00:00:00",58.37,107.96,29.16,31,48,14.5,29.16,58.68,25.75,0,0,0,384.5,"Very Poor",January,2015,381.19,0.5407,0.6458,1.1324,1.8929
Ahmedabad,"2015-01-10 00:00:00",58.37,107.96,16.28,7.04,0,14.5,16.244999999999997,8.29,4.55,0,0,0,384.5,"Very Poor",January,2015,381.19,0.5407,0,3.5703,1.1776
Ahmedabad,"2015-01-11 00:00:00",58.37,107.96,132.07,55.8,24.53,14.5,132.07,25.03,6.79,0,0,0,384.5,"Very Poor",January,2015,381.19,0.5407,2.2748,19.4507,0.4486
Ahmedabad,"2015-01-12 00:00:00",58.37,107.96,52.04,40.67,90.24,14.5,52.04,51.84,45.89,2.41,0.03,7.88,384.5,"Very Poor",January,2015,381.19,0.5407,0.4507,1.134,1.2746
Ahmedabad,"2015-01-13 00:00:00",58.37,107.96,48.82,44.2,87.09,14.5,48.82,68.21,35.16,9.45,13.35,12.5,384.5,"Very Poor",January,2015,381.19,0.5407,0.5075,1.3885,1.5432
Ahmedabad,"2015-01-14 00:00:00",58.37,107.96,19.2,27.86,33.05,14.5,19.2,52.65,20.96,2.16,2.26,5.19,384.5,"Very Poor",January,2015,381.19,0.5407,0.843,0.916,1.8898
Ahmedabad,"2015-01-15 00:00:00",58.37,107.96,0.6,16.96,16.6,14.5,0.6,28.89,47.63,0.14,0.04,1.35,384.5,"Very Poor",January,2015,381.19,0.5407,1.0217,0.0126,1.7034
Ahmedabad,"2015-01-16 00:00:00",58.37,107.96,1.63,21.72,22.86,14.5,1.63,38.27,46.03,0.35,0.05,2.01,384.5,"Very Poor",January,2015,381.19,0.5407,0.9501,0.0354,1.762
Ahmedabad,"2015-01-17 00:00:00",58.37,107.96,11.44,24.73,34.75,14.5,11.44,49.5,52.24,0.68,0,3.27,384.5,"Very Poor",January,2015,381.19,0.5407,0.7117,0.219,2.0016
Ahmedabad,"2015-01-18 00:00:00",58.37,107.96,6.1,25.77,29.57,14.5,6.1,48.43,53.49,0.74,0.21,2.75,384.5,"Very Poor",January,2015,381.19,0.5407,0.8715,0.114,1.8793
Ahmedabad,"2015-01-19 00:00:00",58.37,107.96,2.51,26.88,27.45,14.5,2.51,50.03,49.48,0.26,0.02,2.8,384.5,"Very Poor",January,2015,381.19,0.5407,0.9792,0.0507,1.8612
Ahmedabad,"2015-01-20 00:00:00",58.37,107.96,7.92,26.8,32.4,14.5,7.92,58.87,56.37,0.24,0.01,3.97,384.5,"Very Poor",January,2015,381.19,0.5407,0.8272,0.1405,2.1966
Ahmedabad,"2015-01-21 00:00:00",58.37,107.96,9.52,33.56,39.28,14.5,9.52,106.93,48.75,0.33,0,5.65,384.5,"Very Poor",January,2015,381.19,0.5407,0.8544,0.1953,3.1862
Ahmedabad,"2015-01-22 00:00:00",58.37,107.96,9.05,17.51,22.33,14.5,9.05,23.71,42.22,0,0,4.51,384.5,"Very Poor",January,2015,381.19,0.5407,0.7841,0.2144,1.3541
Ahmedabad,"2015-01-23 00:00:00",58.37,107.96,22.53,27.96,47.79,14.5,22.53,39.19,32.92,0.39,0,5.95,384.5,"Very Poor",January,2015,381.19,0.5407,0.5851,0.6844,1.4016
Ahmedabad,"2015-01-24 00:00:00",58.37,107.96,2.03,20.39,21.4,14.5,2.03,40.07,32.49,0.47,0.7,1.54,384.5,"Very Poor",January,2015,381.19,0.5407,0.9528,0.0625,1.9652
Ahmedabad,"2015-01-25 00:00:00",58.37,107.96,1.42,20.43,20.19,14.5,1.42,58.41,39.26,0.01,0,0.94,384.5,"Very Poor",January,2015,381.19,0.5407,1.0119,0.0362,2.859
Ahmedabad,"2015-01-26 00:00:00",58.37,107.96,2.27,21.16,21.81,14.5,2.27,43.73,39.83,0.06,0,1.55,384.5,"Very Poor",January,2015,381.19,0.5407,0.9702,0.057,2.0666
Ahmedabad,"2015-01-27 00:00:00",58.37,107.96,2.19,21.7,23.26,14.5,2.19,43.28,41.1,0.02,0,1.65,384.5,"Very Poor",January,2015,381.19,0.5407,0.9329,0.0533,1.9945
Ahmedabad,"2015-01-28 00:00:00",73.24,107.96,5.72,21.11,25.84,14.5,5.72,36.52,62.42,0.03,0.01,1.41,384.5,"Very Poor",January,2015,381.19,0.6784,0.817,0.0916,1.73
Ahmedabad,"2015-01-29 00:00:00",83.13,107.96,6.93,28.71,33.72,14.5,6.93,49.52,59.76,0.02,0,3.14,209,Poor,January,2015,381.19,0.77,0.8514,0.116,1.7248
Ahmedabad,"2015-01-30 00:00:00",79.84,107.96,13.85,28.68,41.08,14.5,13.85,48.49,97.07,0.04,0,4.81,328,"Very Poor",January,2015,381.19,0.7395,0.6981,0.1427,1.6907
Ahmedabad,"2015-01-31 00:00:00",94.52,107.96,24.39,32.66,52.61,14.5,24.39,67.39,111.33,0.24,0.01,7.67,514,Severe,January,2015,381.19,0.8755,0.6208,0.2191,2.0634
Ahmedabad,"2015-02-01 00:00:00",135.99,107.96,43.48,42.08,84.57,14.5,43.48,75.23,102.7,0.4,0.04,25.87,782,Severe,February,2015,506.05,1.2596,0.4976,0.4234,1.7878
Ahmedabad,"2015-02-02 00:00:00",178.33,107.96,54.56,35.31,72.8,14.5,54.56,55.04,107.38,0.46,0.06,35.61,914,Severe,February,2015,506.05,1.6518,0.485,0.5081,1.5588
Ahmedabad,"2015-02-03 00:00:00",139.7,107.96,30.61,28.4,56.73,14.5,30.61,33.79,73.6,0.17,0.03,11.87,660,Severe,February,2015,506.05,1.294,0.5006,0.4159,1.1898
Ahmedabad,"2015-02-04 00:00:00",80.65,107.96,2.37,22.83,24,14.5,2.37,25.73,47.3,0,0,0,294,Poor,February,2015,506.05,0.747,0.9512,0.0501,1.127
Ahmedabad,"2015-02-05 00:00:00",58.36,107.96,2.6,21.39,23.31,14.5,2.6,32.66,53.54,0,0,0,149,Moderate,February,2015,506.05,0.5406,0.9176,0.0486,1.5269
Ahmedabad,"2015-02-06 00:00:00",79.29,107.96,1.16,26.94,26.83,14.5,1.16,67.41,59.3,0,0,0,190,Moderate,February,2015,506.05,0.7344,1.0041,0.0196,2.5022
Ahmedabad,"2015-02-07 00:00:00",88.7,107.96,7.29,31.32,37.73,14.5,7.29,80.09,44.76,0,0,0,247,Poor,February,2015,506.05,0.8216,0.8301,0.1629,2.5572
Ahmedabad,"2015-02-08 00:00:00",74.28,107.96,8.92,27.3,33.42,14.5,8.92,54.28,47.42,0,0,0.27,379,"Very Poor",February,2015,506.05,0.688,0.8169,0.1881,1.9883
Ahmedabad,"2015-02-09 00:00:00",113.93,107.96,4.32,24.27,26.86,14.5,4.32,48.73,39.94,0.02,0,3.55,341,"Very Poor",February,2015,506.05,1.0553,0.9036,0.1082,2.0078
Ahmedabad,"2015-02-10 00:00:00",105.39,107.96,1.41,18.21,18.75,14.5,1.41,35.91,56.15,0,0,3.31,256,Poor,February,2015,506.05,0.9762,0.9712,0.0251,1.972
Ahmedabad,"2015-02-11 00:00:00",66.52,107.96,6.34,23.8,28.24,14.5,6.34,66.58,53.14,9.7,9.63,16.49,388,"Very Poor",February,2015,506.05,0.6162,0.8428,0.1193,2.7975
Ahmedabad,"2015-02-12 00:00:00",65.04,107.96,14.19,30.1,44.21,14.5,14.19,65.91,31.88,7.72,17.46,2.51,288,Poor,February,2015,506.05,0.6024,0.6808,0.4451,2.1897
Ahmedabad,"2015-02-13 00:00:00",103.36,107.96,18.18,39.56,57.33,14.5,18.18,80.43,40.11,11.29,24.35,3.35,510,Severe,February,2015,506.05,0.9574,0.69,0.4533,2.0331
Ahmedabad,"2015-02-14 00:00:00",177.33,107.96,37.49,47.58,77.85,14.5,37.49,99.72,36.47,17,52.66,6.98,761,Severe,February,2015,506.05,1.6426,0.6112,1.028,2.0958
Ahmedabad,"2015-02-15 00:00:00",113.25,107.96,15.55,30.5,44.87,14.5,15.55,69.71,33.78,10.47,28.53,3.22,475,Severe,February,2015,506.05,1.049,0.6797,0.4603,2.2856
Ahmedabad,"2015-02-16 00:00:00",99.7,107.96,19.85,28.1,47.31,14.5,19.85,73.23,30.57,10.28,31.25,4,536,Severe,February,2015,506.05,0.9235,0.594,0.6493,2.606
Ahmedabad,"2015-02-17 00:00:00",80.61,107.96,15.96,21.04,35.67,14.5,15.96,54.7,36.2,8.14,18.75,2.52,479,Severe,February,2015,506.05,0.7467,0.5899,0.4409,2.5998
Ahmedabad,"2015-02-18 00:00:00",100.79,107.96,16.24,25.93,41.91,14.5,16.24,43.11,37.43,10,32.41,4.04,592,Severe,February,2015,506.05,0.9336,0.6187,0.4339,1.6626
Ahmedabad,"2015-02-19 00:00:00",107.99,107.96,11.25,30.09,40.47,14.5,11.25,84.86,31.94,9.2,24.03,3.25,427,Severe,February,2015,506.05,1.0003,0.7435,0.3522,2.8202
Ahmedabad,"2015-02-20 00:00:00",140.29,107.96,33.84,36.14,68.85,14.5,33.84,101.53,40.98,20.12,43.51,7.48,588,Severe,February,2015,506.05,1.2995,0.5249,0.8258,2.8094
Ahmedabad,"2015-02-21 00:00:00",239.96,107.96,61.95,46.25,106.92,14.5,61.95,84.87,33.55,22.14,53.98,15.44,1141,Severe,February,2015,506.05,2.2227,0.4326,1.8465,1.835
Ahmedabad,"2015-02-22 00:00:00",142.96,107.96,45.45,48.21,92.32,14.5,45.45,62.96,34.77,7.35,22.4,8.47,669,Severe,February,2015,506.05,1.3242,0.5222,1.3072,1.306
Ahmedabad,"2015-02-23 00:00:00",238.41,107.96,77.7,55.07,131.32,14.5,77.7,89.07,37.3,50.61,163.64,28.46,1247,Severe,February,2015,506.05,2.2083,0.4194,2.0831,1.6174
Ahmedabad,"2015-02-24 00:00:00",118.72,107.96,12.56,32.01,42.56,14.5,12.56,61.54,38.8,16.89,46.52,6.05,411,Severe,February,2015,506.05,1.0997,0.7521,0.3237,1.9225
Ahmedabad,"2015-02-25 00:00:00",52.99,107.96,2.23,10.45,10.39,14.5,2.23,32.76,67.25,3.85,11.39,0.81,292,Poor,February,2015,506.05,0.4908,1.0058,0.0332,3.1349
Ahmedabad,"2015-02-26 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",February,2015,506.05,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2015-02-27 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",February,2015,506.05,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2015-02-28 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",February,2015,506.05,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2015-03-01 00:00:00",61.12,107.96,3.58,16.81,20.92,14.5,3.58,28.44,30.48,2.69,1.58,1.32,384.5,"Very Poor",March,2015,415.27,0.5661,0.8035,0.1175,1.6919
Ahmedabad,"2015-03-02 00:00:00",60.78,107.96,9.07,18.21,27.34,14.5,9.07,29.48,34.75,2.05,0.55,0.22,189,Moderate,March,2015,415.27,0.563,0.6661,0.261,1.6189
Ahmedabad,"2015-03-03 00:00:00",91.83,107.96,12.99,28.71,40.76,14.5,12.99,39.71,38.46,2.69,1.74,2.25,408,Severe,March,2015,415.27,0.8506,0.7044,0.3378,1.3831
Ahmedabad,"2015-03-04 00:00:00",93.88,107.96,18.21,29.38,47.01,14.5,18.21,62.75,46.79,5.21,2.55,1.55,383,"Very Poor",March,2015,415.27,0.8696,0.625,0.3892,2.1358
Ahmedabad,"2015-03-05 00:00:00",173.01,107.96,48.44,42.27,90.73,14.5,48.44,78.76,59.39,9.72,9.96,4.13,780,Severe,March,2015,415.27,1.6025,0.4659,0.8156,1.8633
Ahmedabad,"2015-03-06 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",March,2015,415.27,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2015-03-07 00:00:00",105.45,107.96,2.5,16.1,18.66,14.5,2.5,29.29,69.9,17.77,5.75,0.39,384.5,"Very Poor",March,2015,415.27,0.9768,0.8628,0.0358,1.8193
Ahmedabad,"2015-03-08 00:00:00",71.56,107.96,3.51,16.83,20.32,14.5,3.51,30.28,57.16,3.95,8.01,0.63,190,Moderate,March,2015,415.27,0.6628,0.8282,0.0614,1.7992
Ahmedabad,"2015-03-09 00:00:00",119.8,107.96,4.13,24.07,27.9,14.5,4.13,50.35,50.49,4.85,12.15,1.35,233,Poor,March,2015,415.27,1.1097,0.8627,0.0818,2.0918
Ahmedabad,"2015-03-10 00:00:00",106.71,107.96,5.39,25.59,30.51,14.5,5.39,38.85,60.17,5.58,14.17,1.74,297,Poor,March,2015,415.27,0.9884,0.8387,0.0896,1.5182
Ahmedabad,"2015-03-11 00:00:00",118.49,107.96,4.11,28.94,31.83,14.5,4.11,54.2,53.61,7.9,21.32,2.78,330,"Very Poor",March,2015,415.27,1.0975,0.9092,0.0767,1.8728
Ahmedabad,"2015-03-12 00:00:00",106.01,107.96,4.28,27.31,30.54,14.5,4.28,70.29,40.91,9.45,15.54,1.71,252,Poor,March,2015,415.27,0.9819,0.8942,0.1046,2.5738
Ahmedabad,"2015-03-13 00:00:00",97.34,107.96,3.67,21.58,24.62,14.5,3.67,64.39,45.69,5.61,15.02,2.25,244,Poor,March,2015,415.27,0.9016,0.8765,0.0803,2.9838
Ahmedabad,"2015-03-14 00:00:00",83.92,107.96,6.42,25.03,30.8,14.5,6.42,67.53,34.94,8.24,21.47,3.09,234,Poor,March,2015,415.27,0.7773,0.8127,0.1837,2.698
Ahmedabad,"2015-03-15 00:00:00",49.51,107.96,3.1,14.16,16.15,14.5,3.1,48.33,37.95,4.34,11.34,1.09,219,Poor,March,2015,415.27,0.4586,0.8768,0.0817,3.4131
Ahmedabad,"2015-03-16 00:00:00",30.76,107.96,2.72,14.14,16.98,14.5,2.72,43.62,54.78,3.58,9.38,0.84,118,Moderate,March,2015,415.27,0.2849,0.8327,0.0497,3.0849
Ahmedabad,"2015-03-17 00:00:00",50.29,107.96,5.34,29.84,33.28,14.5,5.34,59.23,45.44,5.45,15.12,1.65,231,Poor,March,2015,415.27,0.4658,0.8966,0.1175,1.9849
